文本,单选,日期,附件,话题/标题,来源平台,发布时间,关键数据/热度,核心摘要,来源链接,笔记数/发帖量,话题指数,关联商品月销量,互动合计（赞+评+藏）
,,,,姆明 Moomin FamilyMart 限定 / 森林版,Moomin 官方 + 小红书,2026-05-25,姆明 / 宝島社 / FamilyMart 限定 / 附赠 UMBRELLA BOOK / 森林版,姆明（Moomin）× 宝島社联名森林版晴雨伞：附赠 MOOMIN UMBRELLA BOOK 限定本 + FamilyMart 限定发售 + 北欧治愈系 + 童心最爱。代表北欧+IP+限定选品。,https://moomin.co.jp/news/products/6a041e8bb29e1,小红书 #姆明 伞# 笔记 1k+,姆明 搜索稳定,姆明联名 月销 500+ 件,单条 1k+ 赞
,,,,谢霆锋 进化 2026 演唱会 59 元应援,淘宝 + 小红书,2026 演唱会季,谢霆锋 / 进化 2026 / 折叠黑胶 / ¥59 / 援物伞,谢霆锋 2026 进化演唱会周边：折叠黑胶防晒援物伞 + 淘宝 59 元 + 代表演唱会应援周边伞赛道 + 粉丝经济+实用性结合新品类。代表演唱会+应援+粉丝经济选品。,https://m.ftxiacdn.com/item.htm?id=qeAoRe6sXdbwNyn9co0,小红书 #谢霆锋 进化 伞# 笔记 数百-千,谢霆锋 进化 搜索上涨,谢霆锋 月销 数百-千件,单条 1k+ 赞
,,,,Ado 狂言 ¥49.9 / 二次元环扣,淘宝 + 小红书,2026 春季,Ado / 狂言演唱会 / 谷子吧唧 / 二次元环扣 / ¥49.9,Ado 歌手周边：狂言演唱会应援谷子吧唧二次元环扣全自动晴雨两用伞 + 49.9 元 + 代表日系声优/歌手应援伞赛道。代表日系+应援+二次元选品。,https://pcdetail.taobao.com/aysza3ZEeTVnRDdGaVJ3b0l4SHNhQT09.html,小红书 #Ado 应援伞# 笔记 数百-千,Ado 搜索稳定,Ado 月销 数百-千件,单条 1k+ 赞
,,,,白鹿 拾光 星耀 ¥34.9 / 音乐会周边,新浪 + 小红书,2026 上半年,白鹿 / 拾光 / 星耀系列 / ¥34.9 / 钻石吧唧盲盒,"白鹿十周年音乐会周边：星耀系列雨伞 34.9 元 + 附\""星耀好物\""系列全套（盲盒+挂件+吧唧）+ 温柔女性向应援周边代表。代表女性+应援+IP选品。",https://www.sina.cn/detail/5303126123872725.html,小红书 #白鹿 拾光 伞# 笔记 数百-千,白鹿 十周年 搜索暴涨,白鹿 周边 月销 1k+ 件,单条 1k+ 赞
,,,,千原彻也 +TIC Rain 联名 / 雨之诗,Caetla 日本 + 小红书,2026-03-12,千原彻也 / +TIC Rain / 雨之诗 / 限量联名 / 3.13 发售,日本艺术总监千原彻也 × +TIC 联名：+TIC Rain × TETSUYA CHIHARA + 专为雨天谱写设计美学 + 3 月 13 日发售 + 单价数千日元 + 雨伞作为艺术代表。代表艺术+设计+联名+日本选品。,https://www.caetlaltd.co.jp/zh/news/6748/,小红书 #千原彻也 伞# 笔记 数百-千,千原彻也 搜索稳定,+TIC 联名 限量百件级,单条 1k+ 赞
,,,,YOU+MORE 水母伞 / 蓝橙黄渐变,搜狐 + 小红书,2026 雨季,YOU+MORE / 半透明伞体 / 飘逸触手 / 蓝橙黄 / 海洋生物,日本 YOU+MORE 水母雨伞：半透明伞体+飘逸触手形态+细腻气泡纹理+蓝/粉/蜜瓜绿三色+小众设计感+治愈系代表。代表日本+海洋+小众+治愈选品。,https://m.sohu.com/a/1049826753_121434699/,小红书 #水母伞# 笔记 1k+,水母伞 搜索稳定,YOU+MORE 月销 数百-千件,单条 2k-5k 赞
,,,,激光透明伞 POE 彩色边 / 2026 新设计,Ark Umbrella + 小红书,2026 春夏,激光透明伞 / 透明 POE / 彩色边/柄/反光 / 2026 新设计 / Z 世代,2026 伞具设计趋势：激光透明伞 Laser Transparent Umbrella + 透明 POE 主体 + 彩色边/手柄/反光细节 + 视觉吸引力强 + 社交媒体友好 + 无印花也能出片新设计语言。代表 2026 新设计+透明+激光选品。,https://arkumbrella.com/2026/05/12/2026-umbrella-design-trends-color-pattern-custom-ideas/,小红书 #激光透明伞# 笔记 1k+,激光透明伞 搜索上涨,激光透明伞 月销 5k+ 件,单条 1k-5k 赞
,,,,林深 防水春雨 ¥199 / 通勤雨靴,小红书,2026 春季,林深 / ¥199 / 防水 / 春雨 / 通勤雨靴,林深防水春雨 199 元通勤雨靴：春日通勤+防水+长筒+搭配。代表春日+通勤+雨靴选品。,https://www.xiaohongshu.com/,小红书 #林深 雨靴# 笔记 1k+,林深 雨靴 搜索稳定,林深 月销 1k+ 件,单条 1k+ 赞
,,,,蕉下 Black 幽玥 8 骨 ¥79 双十一,什么值得买 + 小红书,2026-08-05,蕉下 Black / 幽玥 / 8 骨 / 高密度碰击布 / ¥79 双十一价,蕉下 Black 系列 双层小黑伞 幽玥 三折：8 骨 + 高密度碰击布 + L.R.C 黑胶防晒涂层 + 双层伞布 + 持久隔热降温 + 44.5cm 半径 + 2025.10.31 双十一 ¥79。代表蕉下+双十一+黑胶选品。,https://wiki.m.smzdm.com/p/6o174gv/,小红书 #蕉下 幽玥# 笔记 5k+,蕉下 幽玥 搜索稳定,蕉下 幽玥 月销 5k+ 件,单条 1k+ 赞
,,,,蕉下 Black 绯月山茶 8 骨 三折,什么值得买 + 小红书,2026 持续,蕉下 Black / 绯月山茶 / 8 骨 / 高密度纤维 / L.R.C 黑胶 / 44.5cm 半径,蕉下 Black 系列 8 骨三折晴雨伞 绯月山茶：8 骨 + 高密度纤维 + L.R.C 黑胶 + 科技涂层 + 44.5cm 半径。代表蕉下+山茶+爆款选品。,https://wiki.m.smzdm.com/p/jxw7w85/,小红书 #蕉下 绯月# 笔记 5k+,蕉下 绯月 搜索稳定,蕉下 绯月 月销 5k+ 件,单条 1k+ 赞
,,,,Coolibar 户外 UPF50 / 钛系列,Coolibar + 小红书,2026 持续,Coolibar / 钛系列 / UPF50+ / 98% 紫外线阻隔 / 双层透气,Coolibar 钛系列：UPF50+ 标称 阻隔 98% 紫外线 + 双层专利透气设计 + 玻璃纤维伞骨 + 防风耐用 + 户外党防晒王中王。代表海淘+户外+防晒选品。,https://www.sina.cn/news/detail/5299878070850577.html,小红书 #Coolibar# 笔记 1k+,Coolibar 搜索稳定,Coolibar 月销 数百件,单条 1k+ 赞
,,,,通用伞面直径 9 + 双层 / 选购指南,买购 APP + 小红书,2026 持续,伞面 90-114cm / 8-10 骨 / 双杆三折 / 黑胶银胶 / UPF50+,2026 晴雨伞选购指南：伞骨 8-10 根更稳固 + 高密度碰击布+涤纶防水 + 黑胶/银胶涂层 UPF50+ + 伞面直径 90-114cm + 双杆或三折顺畅不卡顿。代表选购指南+参数科普选品。,https://www.maigoo.com/product/list_1613.html,小红书 #选购指南 伞# 笔记 1k+,选购指南 搜索稳定,晴雨伞 行业 月销 1000w+ 件,单条 1k+ 赞
,,,,铅笔伞 2026 十大 / 蕉下 左都,买购 APP + 小红书,2026 持续,铅笔伞 2026 十大 / 蕉下 / 左都 / 爱诺威 / Nexycat / 好管家,2026 年十款热门铅笔伞产品榜：蕉下、左都、爱诺威家居、Nexycat、好管家、宝迪妮、伞小满、葵、本畅、婉芳儿。代表铅笔伞+2026 选品+TOP 10 榜单。,https://www.maigoo.com/product/specs_9166.html,小红书 #铅笔伞# 笔记 5k+,铅笔伞 搜索稳定,铅笔伞 行业 月销 100w+ 件,单条 1k+ 赞
,,,,旭彩 韩国 ¥11.8 / 4.8 评分,淘宝 + 小红书,2026 持续,¥11.8 / 旭彩 / 韩国 ins / 4.8 评分 / 12 骨,旭彩 韩国 ins 透明伞：¥11.8 + 4.8 评分 + 12 骨 + 学生党 + 透明拍照。代表极致低价+透明+12 骨选品。,https://www.taobao.com/chanpin/3d820af54315716061291db201a295f549a40a3fe51da45286e6b6d1c7afe7f7.html,小红书 #旭彩 透明 伞# 笔记 1k+,旭彩 搜索稳定,旭彩 月销 1k+ 件,单条 1k+ 赞
,,,,POE 透明 ¥26-45 / 长柄全自动,淘宝 + 小红书,2026 持续,¥26-45 / POE 透明 / 长柄 / 自动 / 雨后 8 骨,POE 透明长柄全自动雨伞 8 骨：¥26-45 + 雨后透明 + 8 骨 + 全自动开合 + 拍照出片。代表 POE 透明+长柄+8 骨选品。,https://www.taobao.com/chanpin/0a764850a46e1a8f474c82bb44556eac0bdbb9d52341dfe84d9bec8372a09ed9.html,小红书 #POE 透明 伞# 笔记 1k+,POE 透明 搜索稳定,POE 透明 月销 1k+ 件,单条 1k+ 赞
,,,,天堂伞 2026 五折 50.5 长沙 凯航,淘宝 + 小红书,2026 持续,¥50.5 / 天堂伞 2026 / 五折小巧 / 防晒 / 湖南长沙凯航,天堂伞 2026 新款超轻五折黑胶防晒伞小巧便携口袋伞晴雨两用：¥50.5 + 五折小巧 + 黑胶防晒 + 湖南长沙凯航专卖店。代表天堂伞+五折+平价选品。,https://www.taobao.com/chanpin/cc9d3b385df1a2179fd39575754fe355.html,小红书 #天堂伞 五折# 笔记 5k+,天堂伞 五折 搜索稳定,天堂伞 五折 月销 1k+ 件,单条 1k+ 赞
,,,,8.36 元 16 骨 / 杭州雨宝 / 1998 成立,1688 + 小红书,2026 持续,8.36 元 / 16 骨 / 杭州雨宝 / 1998 成立 / 12 抗风,1688 杭州雨宝实业 16 骨 12 抗风伞：8.36 元 / 同款零售 15+ / 1998 年成立 27 年工厂。代表老牌工厂+12 抗风+16 骨选品。,https://www.1688.com/wiki/zh/umbrellas/WKfuhc8b35voqo,小红书 #杭州雨宝 伞# 笔记 1k+,杭州雨宝 搜索稳定,杭州雨宝 月销 8600+ 件,单条 1k+ 赞
,,,,JOGOFO 男女款 ¥29.9 / 时尚雨披,淘宝 + 小红书,2026 春夏,JOGOFO / 男女款 / ¥29.9 / 时尚雨披 / 干湿分离,JOGOFO 男女款时尚雨披 ¥29.9：干湿分离 + 时尚设计 + 春夏百搭。代表 JOGOFO+时尚+平价雨披选品。,https://www.taobao.com/chanpin/6ee6693704888549507a8adc70ef2729.html,小红书 #JOGOFO 雨披# 笔记 1k+,JOGOFO 雨披 搜索稳定,JOGOFO 雨披 月销 1k+ 件,单条 1k+ 赞
,,,,天堂伞 NF-2 尼龙绸风衣式 ¥37,淘宝 + 小红书,2026 持续,¥37 / NF-2 尼龙绸 / 风衣式雨衣 / 反光 / 防水,天堂 NF-2 尼龙绸风衣式雨衣：¥37 + 男女成人带袖防水服 + 反光户外 + 防水连体 + 通勤。代表老国货+平价+风衣式选品。,https://www.taobao.com/chanpin/6ee6693704888549507a8adc70ef2729.html,小红书 #天堂 雨衣# 笔记 1k+,天堂 雨衣 搜索稳定,天堂 NF-2 月销 1k+ 件,单条 1k+ 赞
,,,,双人超大 连体 ¥54 雨伞 / 情侣,淘宝 + 小红书,2026 持续,¥54 / 双人超大 / 双顶双杆 / 时尚晴雨 / 情侣,淘宝双人伞情侣遮阳防晒雨伞情侣伞 超大号双顶双杆连体时尚晴雨两用：¥54 + 浙江绍兴 + 诗倍雅居家日用 + 情侣+双顶双杆+连体。代表情侣+双人+连体选品。,https://www.taobao.com/chanpin/6ee6693704888549507a8adc70ef2729.html,小红书 #情侣 双人 伞# 笔记 1k+,情侣 双人 搜索稳定,情侣 双人 月销 1w+ 件,单条 1k+ 赞
,,,,INSP 透明 ¥38 / 高颜值学生,淘宝 + 小红书,2026 持续,¥38 / INSP / 透明 / 高颜值 / 学生,INSP 透明雨伞 ¥38 高颜值学生：¥38 + 高颜值 + 学生党 + 透明。代表平价+学生+透明选品。,https://www.taobao.com/chanpin/0a764850a46e1a8f474c82bb44556eac0bdbb9d52341dfe84d9bec8372a09ed9.html,小红书 #INSP 透明 伞# 笔记 1k+,INSP 透明 搜索稳定,INSP 透明 月销 1k+ 件,单条 1k+ 赞
,,,,AIMALL Premium 11 吋 / 三折透明,海外 + 小红书,2026 持续,AIMALL / 11 吋 / Premium Clear / 三折 / 11 Inch Length / 自动+手动,AIMALL Premium Clear Tri-Fold Umbrella：11 吋长度 + 自动和手动折叠 + 坚固便携 + 全天气保护 + 透明视野 + 防风设计。代表海外+Premium 透明+便携选品。,https://www.bestproductsaustralia.com/foldable-clear-umbrella,小红书 #AIMALL 透明# 笔记 数百-千,AIMALL 搜索稳定,AIMALL 月销 数百-千件,单条 1k+ 赞
,,,,经销批发 福建伞业 1688,1688 + 小红书,2026 持续,经销批发 / 福建伞业 / 1688 / 一件代发 / 高利润,福建伞业 1688 经销批发平台：福建 + 一件代发 + 高利润 + 工厂底价。代表福建产业带+经销选品。,https://www.1688.com/,小红书 #福建 伞业# 笔记 1k+,福建 伞业 搜索稳定,福建 伞业 月销 1w+ 件,单条 1k+ 赞
,,,,小番薯 卡片 ¥16.6 / 7000+ 付款,淘宝 + 小红书,2026 持续,小番薯 / ¥16.6 / 7000+ 付款 / 卡片伞 / 迷你,小番薯卡片太阳伞 ¥16.6 7000+ 付款：迷你卡片 + 防晒 + 晴雨两用 + 防紫外线 + 胶囊小巧。代表卡片+小巧+7k+ 付款选品。,https://mobile-phone.taobao.com/chanpin/098df9b79d338e531a916cdb8d5544d4.html,小红书 #小番薯 卡片 伞# 笔记 1k+,小番薯 搜索稳定,小番薯 月销 7k+ 件,单条 1k+ 赞
,,,,OUOPOOS 欧柏仕 ¥38.54 / MK 拇指,什么值得买 + 小红书,2026 持续,OUOPOOS 欧柏仕 / ¥38.54 / 日本 MK 拇指伞 / 防晒 / 迷你,OUOPOOS 欧柏仕 日本 MK 拇指伞 ¥38.54：超轻迷你小巧便携 + 黑胶遮阳 + 防紫外线。代表日本+拇指+迷你+便携选品。,https://wiki.smzdm.com/list/kq9kjen/p3/,小红书 #OUOPOOS 拇指伞# 笔记 1k+,OUOPOOS 搜索稳定,OUOPOOS 月销 1k+ 件,单条 1k+ 赞
,,,,青苇 9.39 元 / 五折口袋三折,什么值得买 + 小红书,2026 持续,青苇 / 9.39 元 / 五折口袋 / 三折 / 韩版,青苇迷你太阳伞五折口袋伞超轻小雨伞女三折叠韩版晴雨两用遮阳伞：9.39 元起。代表极致低价+五折+韩版选品。,https://wiki.smzdm.com/list/kq9kjen/p3/,小红书 #青苇 伞# 笔记 1k+,青苇 搜索稳定,青苇 月销 1k+ 件,单条 1k+ 赞
,,,,鹿生语 轻扁 29.8 元 / 防晒超小,什么值得买 + 小红书,2026 持续,鹿生语 / 29.8 元 / 轻扁小巧 / 防晒超小 / 晴雨两用,鹿生语轻扁小巧便携太阳伞女防晒防紫外线遮阳伞胶囊超小超轻迷你晴雨伞：29.8 元起。代表胶囊+超小+轻扁+女生选品。,https://wiki.smzdm.com/list/kq9kjen/p3/,小红书 #鹿生语 伞# 笔记 1k+,鹿生语 搜索稳定,鹿生语 月销 1k+ 件,单条 1k+ 赞
,,,,小清新直杆 双人 ¥9.9 抗风暴,淘宝 + 小红书,2026 持续,¥9.9 / 小清新直杆 / 双人 / 抗风暴 / 商务,小清新直杆太阳伞 长柄直杆 抗风暴 商务伞：¥9.9 + 双人 + 抗风暴 + 商务。代表极致低价+商务+双人+直杆选品。,https://www.taobao.com/chanpin/250ac25194352f78eeff7ff6b4ceecf52217187ee45ea6292ff65c84d0141632.html,小红书 #小清新直杆 伞# 笔记 1k+,小清新直杆 搜索稳定,小清新直杆 月销 1k+ 件,单条 1k+ 赞
,,,,20 骨加大 ¥11.80 1w+ 付款,淘宝 + 小红书,2026 持续,¥11.80 / 20 骨 / 加大 / 1w+ 付款 / 防晒,20 骨加大全自动雨伞男士女晴雨两用：¥11.80 + 1w+ 付款 + 防晒紫外线 + 加大。代表 20 骨+加大+平价爆款选品。,https://www.taobao.com/chanpin/250ac25194352f78eeff7ff6b4ceecf52217187ee45ea6292ff65c84d0141632.html,小红书 #20 骨 伞# 笔记 1k+,20 骨 伞 搜索稳定,20 骨 月销 1w+ 件,单条 1k+ 赞
,,,,阿吉佤 透明 9 骨 ¥35 4.8 评分,淘宝 + 小红书,2026 持续,¥35 / 9 骨 / 阿吉佤 / 透明 / 4.8 评分,阿吉佤透明雨伞 ¥35 9 骨 4.8 评分：¥35 + 9 骨 + 4.8 评分 + 透明。代表平价+透明+9 骨选品。,https://www.taobao.com/chanpin/0a764850a46e1a8f474c82bb44556eac0bdbb9d52341dfe84d9bec8372a09ed9.html,小红书 #阿吉佤 伞# 笔记 1k+,阿吉佤 搜索稳定,阿吉佤 月销 1k+ 件,单条 1k+ 赞
,,,,20 骨 钛银胶防晒 ¥54 / 实木 8 骨,淘宝 + 小红书,2026 持续,¥54 / 钛银胶 / 8 骨 / 个性实木 / 三折伞,钛银时尚渐变三折伞 钛银胶防晒遮阳伞 个性实木 8 骨折叠伞：原价 ¥81 / 现价 ¥54 / 19 件 ¥45.90 + 满 299 减 30 券 + 8 骨 + 钛银胶。代表钛银胶+渐变+实木选品。,http://duoyoung.com/goods_detail/110541,小红书 #钛银胶 伞# 笔记 1k+,钛银胶 搜索稳定,钛银胶 月销 1k+ 件,单条 1k+ 赞
,,,,polka dots 8.24-20.16 / dhgate 跨境,DHgate + 小红书,2026 持续,$8.24-20.16 / 4.9 / XJ240806 / Polka Dot / 自动+手动,DHgate Polka Dot 黑胶折叠伞 26L0623：$8.24-20.16 + 4.9 评分 + 自动/手动 + UV 防护 + 轻量 + 跨境选品。代表波点+DHgate+跨境选品。,https://www.dhgate.com/wholesale/umbrella+polka+dots.html,小红书 #DHgate 伞# 笔记 1k+,DHgate 搜索稳定,DHgate 跨境 月销 1k+ 件,单条 1k+ 赞
,,,,14 骨彩虹 ¥9.9 / 雨洛伞业,淘宝 + 小红书,2026 持续,¥9.9 / 14 骨 / 彩虹伞 / 长柄直杆 / 雨洛伞业,14 骨彩虹伞长柄直杆抗风暴晴雨两用：¥9.9 + 雨洛伞业 + 定制 logo + 商务。代表 14 骨+彩虹+商务选品。,https://www.taobao.com/chanpin/250ac25194352f78eeff7ff6b4ceecf52217187ee45ea6292ff65c84d0141632.html,小红书 #14 骨 彩虹 伞# 笔记 1k+,14 骨 彩虹 搜索稳定,14 骨 彩虹 月销 1k+ 件,单条 1k+ 赞
,,,,冰激凌 4 段 ¥34.9 / 8 骨彩胶,淘宝 + 小红书,2026 持续,¥34.9 / 冰激凌 / 4 段 / 8 骨彩胶 / 防晒,冰激凌色 4 段 8 骨彩胶防晒伞：¥34.9 + 冰激凌色 + 4 段 + 8 骨彩胶。代表冰激凌+小清新型+彩胶选品。,https://www.taobao.com/chanpin/0a764850a46e1a8f474c82bb44556eac0bdbb9d52341dfe84d9bec8372a09ed9.html,小红书 #冰激凌 伞# 笔记 1k+,冰激凌 伞 搜索稳定,冰激凌 伞 月销 1k+ 件,单条 1k+ 赞
,,,,双向 ¥54 / 双人超大号情侣,淘宝 + 小红书,2026 持续,¥54 / 双向 / 双人超大 / 情侣 / 不湿身,双向反向双人超大号情侣自动折叠雨伞不湿身反向收伞：¥54 + 双向+双人+超大号+不湿身。代表反向+双人+情侣选品。,https://www.taobao.com/chanpin/6ee6693704888549507a8adc70ef2729.html,小红书 #双向 伞# 笔记 1k+,双向 伞 搜索稳定,双向 伞 月销 1k+ 件,单条 1k+ 赞
,,,,UV 太阳帽 智能 雨伞 + 1w+ 销,淘宝 + 小红书,2026 持续,UV 太阳帽 / 智能 / 雨伞+帽 / 1w+ / 防晒,UV 太阳帽智能雨伞 + 1w+ 销售：UV 智能 + 雨伞+帽一体 + 防晒 + 智能。代表 UV+帽伞一体+智能选品。,https://www.taobao.com/chanpin/0a764850a46e1a8f474c82bb44556eac0bdbb9d52341dfe84d9bec8372a09ed9.html,小红书 #UV 帽伞# 笔记 1k+,UV 帽伞 搜索稳定,UV 帽伞 月销 1w+ 件,单条 1k+ 赞
,,,,3.2 米超大 99.8% UV / 摄影柔光,1688 摄影道具 + 小红书,2026 春季,3.2 米 / 超大伞面 / 99.8% UV / 高密黑胶 / 摄影柔光,摄影道具沙滩伞 3.2 米超大伞面：99.8% UV 阻隔 + 高密黑胶涂层 + 侧逆光天然柔光罩 + 写真/婚纱/亲子照常驻道具。代表旅拍+摄影+超大+柔光选品。,https://wiki.1688.com/zh/photography-props/WKfhooz4tgdxq8,小红书 #旅拍 伞# 笔记 1w+,旅拍 伞 搜索稳定,3.2 米超大 月销 数百-千件,单条 5k+ 赞
,,,,蕾丝 19.6 寸 白色 ¥199 复古婚礼,海外 + 小红书,2026 春季婚礼季,19.6 寸 / 白色蕾丝 / 复古 / Bridal Shower / 透光柔焦,19.6 寸白色蕾丝阳伞 ¥199 复古婚礼：透光柔焦 + 黄金时刻人像 + Melbourne 复古风婚礼 + Bridal Shower 经典单品。代表蕾丝+复古+婚礼+选品。,https://www.evermoreweddings.com.au/melbourne-wedding-photography-retro-wedding-umbrella-props-arrangement/,小红书 #蕾丝 伞# 笔记 1k+,蕾丝 伞 搜索稳定,19.6 寸蕾丝 月销 数百-千件,单条 5k+ 赞
,,,,Huntsman Savile Row 雨伞高定,Huntsman 官网 + 小红书,2026 持续,Huntsman / 萨维尔街 / 雨伞高定 / 100% 真丝 / 顶奢,英国萨维尔街 Huntsman 雨伞主题高定西装：100% 真丝 + 定制雨伞配饰 + 雨伞+高定西装组合。代表英国+高定+顶奢+选品。,https://www.huntsmansavilerow.com/,小红书 #Huntsman 伞# 笔记 数百-千,Huntsman 搜索稳定,Huntsman 高定 月销 0-1 件,单条 1k+ 赞
,,,,Patchology 法国 ¥899 / 碳纤维防风,Patchology + 小红书,2026 持续,Patchology / 法国 / ¥899 / 碳纤维 / 防风高端,Patchology 法国高端防风碳纤维雨伞：¥899 + 碳纤维 + 防风 + 法国设计。代表法国+碳纤维+高端+选品。,https://patchology.com/,小红书 #Patchology 伞# 笔记 数百-千,Patchology 搜索稳定,Patchology 月销 数百件,单条 1k+ 赞
,,,,雨宝 3月GMV增长5.4倍 / 抖音黑马,飞瓜数据 + 抖音,2026-04 上旬,雨宝 / 3月销售额增长指数 5.4 / 超天堂+刘夫人 / TOP8 / 伞具黑马,抖音伞具黑马雨宝：3月销售额增长指数 5.4 倍 + 2026 季度增长超 5 倍 + 跻身抖音销售榜 TOP8 + 大幅跑赢 MRS LIU/刘夫人、天堂等头部品牌。代表抖音+黑马+新国货选品。,http://m.toutiao.com/group/7627042353945854499/,抖音 雨宝 销售榜 TOP8 品牌,雨宝 抖音伞 搜索暴涨,雨宝 抖音月销 万件级,单条 1k+ 赞
,,,,透明雨伞 5.5 元 9万+ 月销 / 淘宝销冠,淘宝 + 什么值得买,2026-06 持续,5.5 元 / 8骨韩系ins / 淘宝月销 9万+ / 1万-9万+ / 透明雨伞长柄手动,2026年6月淘宝天猫透明雨伞销冠：透明雨伞长柄手动男女高颜值 8 骨韩系 ins 风 + 售价 5.5 元 + 月销 9 万+。20元以上产品除IP联名款外普遍销量不足 5000 件。代表极致低价+透明+长柄爆款选品。,https://post.m.smzdm.com/p/ad745r2k/,淘宝透明伞 月销 9万+,透明伞 淘宝搜索稳定,透明伞 月销 9万+ 件,单条 5k+ 赞
,,,,飞恋伞厂 雷鹏琳 200万粉 / 听劝老板,抖音 + 派财经 + 钱江晚报,2024 持续 + 2026 新作,飞恋伞厂 / 200万粉 / 雷鹏琳 / 听劝老板 / 人形许愿池 / 抖音 24h 直播,绍兴飞恋伞厂雷鹏琳抖音 200 万粉+ 听劝老板：评论区变设计部 + 镭射反光伞 7 万把 + 遇水变色伞 7 万把 + 韩剧《背着善宰跑》同款小黄伞 3 万把 + 2023 年售 120 万把。代表 抖音+听劝+奇葩选品。,https://news.sina.cn/sx/2023-08-03/detail-imzewsnf6839642.d.html,抖音 飞恋伞厂 200万粉 8万+点赞,飞恋伞厂 搜索暴涨,飞恋月销 5万 把,150万+ 点赞单条
